,deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul,description,gts
ct16,ct16,XTOPHE,1,0,UNKNOWN,,,,2006-01-15,2013-01-01,,Kerguelen 2006,N
ct10,ct10,COSTA,1,0,UNKNOWN,,,,2005-02-01,2005-07-01,,Northern ellie Feb 2005,Y
ct10r,ct10r,COSTA,1,0,UNKNOWN,,,,2005-02-01,2005-07-01,,Northern ellie recovered data Feb 2005,Y
ct12,ct12,COSTA,1,0,UNKNOWN,,,,2005-06-01,2006-02-01,,Northern ellie post-moult females  2005,Y
ct12r,ct12r,COSTA,1,0,UNKNOWN,,,,2005-06-21,2005-11-10,,Northern ellie post-moult females recovered  2005,Y
ct13,ct13,COSTA,1,0,UNKNOWN,,,,2005-07-20,2006-02-01,,Northern ellie males Mexico  2005,Y
ct14,ct14,COSTA,1,0,UNKNOWN,,,,2006-01-10,2006-07-01,,Cape Shirreff CTD 2006,Y
ct15,ct15,COSTA,1,0,UNKNOWN,,,,2005-10-25,2006-02-01,,California sea lion CTD 2006,Y
ct17,ct17,COSTA,1,0,UNKNOWN,,,,2006-01-10,2006-08-12,,Northern ellie 2006,Y
ct17r,ct17r,COSTA,1,0,UNKNOWN,,,,2006-01-10,2006-08-12,,Northern ellie recovered 2006,Y
ct19,ct19,COSTA,1,0,UNKNOWN,,,,2006-08-13,2006-12-31,,Northern ellie post-moult 2006,Y
ct4,ct4,COSTA,1,0,UNKNOWN,,,,2004-06-05,2005-06-21,,Northern ellie 2004,Y
ct9,ct9,COSTA,1,0,UNKNOWN,,,,2005-02-01,2006-01-01,,Souther ellie CTD 2005,Y
hg47,hg47,ROQUET,1,0,UNKNOWN,,,,2016-03-30,,,Baltic Hg CTD/GSM 2015,Y
ct118,ct118,GOEBEL,1,0,UNKNOWN,,,,2015-02-12,,,AMLR Weddell seals CTD 2015,Y
ct95,ct95,XTOPHE,1,0,UNKNOWN,,,,2012-10-22,2013-03-31,,KerguelenNov 2012,Y
rs27,rs27,HOLLAND,1,0,UNKNOWN,,,,2015-08-01,2016-12-01,,Ringed seal CTD 2015,Y
NP04c,NP04c,NPOLAR,1,0,UNKNOWN,,,,2017-07-19,2023-11-22,,Beluga CTD 2015,Y
DL01,DL01,STANTEC,1,0,UNKNOWN,,,,2016-06-13,2019-06-03,,Beluga Fluoro CTD 2015,Y
eb03,eb03,STANTEC,1,0,UNKNOWN,,,,2015-08-10,2016-02-29,,Bearded/spotted seals Fluoro CTD 2015,Y
ag01,ag01,NPOLAR,1,0,UNKNOWN,,,,2016-01-01,2018-06-01,,Antarctic fur seal SRDL 2016,Y
ct120,ct120,XTOPHE,1,0,UNKNOWN,,,,2015-11-01,2024-10-15,,Kerguelen 2015,Y
ct121,ct121,GAO,1,0,UNKNOWN,,,,2016-01-10,2016-12-01,,Southern ellie/Weddell CTD 2016,Y
ct124,ct124,MUELBERT,1,0,UNKNOWN,,,,2015-12-01,2019-08-19,,CTD 2015,Y
ct125,ct125,COSTA,1,0,UNKNOWN,,,,2016-02-01,2016-06-01,,Refurb northern ellie CTD 2016,Y
ct126,ct126,COSTA,1,0,UNKNOWN,,,,2016-02-01,2016-06-01,,MBARI CTD 2016,Y
ct127,ct127,COSTA,1,0,UNKNOWN,,,,2016-01-15,2017-05-15,,July Campagna CTD 2016,Y
rs29,rs29,HOLLAND,1,0,UNKNOWN,,,,2016-08-04,2018-01-01,,Ringed seal GPS/CTD 2016,Y
ct130,ct130,NPOLAR,1,0,UNKNOWN,,,,2016-07-24,2017-06-01,,Ringed seal GPS/CTD 2016,Y
ft20,ft20,SANDRA,1,0,UNKNOWN,,,,2016-10-12,2017-08-01,,Fluoro 2016,N
ct132,ct132,XTOPHE,1,0,UNKNOWN,,,,2016-10-20,2017-01-06,,Kerguelen 2016,Y
kp01,kp01,IMOS,1,0,UNKNOWN,,,,2017-03-15,2017-09-30,,Kerguelen Plateau fishery 2017,Y
MY01,MY01,UNKNOWN,1,0,UNKNOWN,,,,2017-03-30,2017-11-01,,Bowhead Greenland 2017,N
ct137,ct137,COSTA,1,0,UNKNOWN,,,,2017-06-01,2018-05-15,,Refurb CTD 2017,Y
ft26,ft26,COSTA,1,0,UNKNOWN,,,,2018-10-12,2024-10-15,,MBARI Fluoro 2018,Y
ft25,ft25,NPOLAR,1,0,UNKNOWN,,,,2018-10-31,2025-01-01,,Weddell seals 2019,Y
wd11,wd11,UNKNOWN,1,0,UNKNOWN,,,,2019-02-03,2019-08-19,,Weddell seals CTD 2019,Y
ct153,ct153,LARS,1,0,UNKNOWN,,,,2020-02-01,2020-11-01,,TARSAN CTD 2019,Y
wd12,wd12,UNKNOWN,1,0,UNKNOWN,,,,2020-02-06,2024-02-08,,Weddell seals CTD 2020,Y
rs37,rs37,HOLLAND,1,0,UNKNOWN,,,,2021-07-25,2022-06-01,,Ringed seal GPS/CTD 2021,Y
ft28,ft28,UPWELL,1,0,UNKNOWN,,,,2021-05-08,2023-01-01,,Leatherback FTD 2021,Y
wd13,wd13,UNKNOWN,1,0,UNKNOWN,,,,2019-11-20,,,Weddell seals Nov 2019,Y
ct158,ct158,XTOPHE,1,0,UNKNOWN,,,,2011-03-26,2021-01-01,,Special tags 2020,Y
ft27,ft27,COSTA,1,0,UNKNOWN,,,,2021-02-01,2021-06-01,,MBARI Fluoro 2020,Y
wd14,wd14,AWI,1,0,UNKNOWN,,,,2021-02-11,2021-12-01,,Weddell seals CTD 2020,Y
ct159,ct159,XTOPHE,1,0,UNKNOWN,,,,2019-10-24,2021-06-01,,Refurbished tags 2020,Y
ct161,ct161,XTOPHE,1,0,UNKNOWN,,,,2020-12-24,2024-10-09,,Post-moult 2022,Y
ct162,ct162,HOKK,1,0,UNKNOWN,,,,2021-08-10,,,Ringed seals CTD 2020,Y
ct163,ct163,HOKK,1,0,UNKNOWN,,,,2021-06-01,,,Sea of Okhotsk CTD 2020,Y
hd09,hd09,UNKNOWN,1,0,UNKNOWN,,,,2019-03-15,,,Hooded seal 2019,Y
hg63,hg63,HAMMILL,1,0,UNKNOWN,,,,2019-07-03,2024-10-15,,Hammill Hg CTD 2019,Y
ct151,ct151,COSTA,1,0,UNKNOWN,,,,2019-06-03,2023-05-30,,Refurb CTD 2019,Y
ct152,ct152,XTOPHE,1,0,UNKNOWN,,,,2019-10-01,2020-03-25,,Kerguelen post-breeding 2019,Y
wd15,wd15,UNKNOWN,1,0,UNKNOWN,,,,2021-11-10,,,Weddell seals CTD refurb 2021 & 2023,Y
wd16,wd16,KOPRI,1,0,UNKNOWN,,,,2021-02-12,2022-02-01,,Weddell seals CTD 2020,Y
ct154,ct154,XTOPHE,1,0,UNKNOWN,,,,2019-10-15,2020-02-01,,Argentina post-breeding 2019,Y
ct155,ct155,XTOPHE,1,0,UNKNOWN,,,,2019-12-24,2020-12-01,,Kerguelen post-moult 2019,Y
rs36,rs36,HOLLAND,1,0,UNKNOWN,,,,2020-07-20,,,Ringed seal GPS/CTD 2020,Y
wd17,wd17,KOPRI,1,0,UNKNOWN,,,,2022-01-28,2022-10-01,,Weddell seals CTD 2021,Y
ct168,ct168,XTOPHE,1,0,UNKNOWN,,,,2020-12-24,2025-04-21,,Refurbished F/CTD 2021,Y
wd18,wd18,KOPRI,1,0,UNKNOWN,,,,2022-01-30,,,Weddell seals CTD 2022,Y
ft30,ft30,COSTA,1,0,UNKNOWN,,,,2022-02-01,2022-06-01,,MBARI Fluoro 2022,A
tu117,tu117,IMOS,1,0,UNKNOWN,,,,2022-05-20,2024-04-01,,IMOS Olive ridley turtle CTD GPS 2021,N
ct173,ct173,HOKK,1,0,UNKNOWN,,,,,,,Sea of Okhotsk CTD 2022,Y
ct174,ct174,COSTA,1,0,UNKNOWN,,,,2023-01-26,2024-01-01,,MBARI CTD 2023 (ATN + TESAC GTS),A
ft35,ft35,COSTA,1,0,UNKNOWN,,,,2024-01-13,2024-06-01,,MBARI Fluoro 2024,A
ct181,ct181,COSTA,1,0,UNKNOWN,,,,2024-01-22,,,MBARI CTD 2024,A
ct183,ct183,XTOPHE,1,0,UNKNOWN,,,,2024-09-11,2025-03-01,,Kerguelen post-breeding 2024,Y
wd32,wd32,IMOS,1,0,UNKNOWN,,,,2025-03-01,2025-04-26,,IMOS Denman Marine Weddell seals 2025 (no tags deployed),Y
ct167,ct167,LARS,1,0,UNKNOWN,,,,2022-02-10,2024-12-18,,CTD 2021,Y
tu115,tu115,BOUSQUET,1,0,UNKNOWN,,,,2021-12-05,,,Leatherback Fluoro 2021,Y
ct169,ct169,COSTA,1,0,UNKNOWN,,,,2022-02-14,2022-06-01,,MBARI CTD 2022,A
wd21,wd21,PINONES,1,0,UNKNOWN,,,,2022-02-13,2022-12-31,,Weddell seals CTD 2022,Y
wd22,wd22,IMOS,1,0,UNKNOWN,,,,,,,Weddell seals CTD 2022,Y
rs38,rs38,HOKK,1,0,UNKNOWN,,,,2023-08-10,2024-05-01,,Ringed seals CTD Greenland 2022,Y
ft31,ft31,UPWELL,1,0,UNKNOWN,,,,2022-05-04,2023-02-01,,West Atlantic Adult Leatherbacks 2022,Y
wd24,wd24,KOPRI,1,0,UNKNOWN,,,,2023-01-26,,,Weddell seals CTD 2023,Y
ct171,ct171,XTOPHE,1,0,UNKNOWN,,,,2020-12-24,2024-06-01,,Fluoro 2022,Y
wd25,wd25,PINONES,1,0,UNKNOWN,,,,2023-02-01,2023-03-15,,Weddell seals CTD 2022,Y
wd26,wd26,YGO,1,0,UNKNOWN,,,,2024-01-01,2025-02-25,,Weddell seals CTD 2023,Y
wd29,wd29,KOPRI,1,0,UNKNOWN,,,,2023-12-04,,,Weddell seals - Jang Bogo Station CTD 2025,Y
ct179,ct179,FEDAK,1,0,UNKNOWN,,,,2024-02-15,2025-03-18,,PICCOLO,Y
ct185,ct185,XTOPHE,1,0,UNKNOWN,,,,2025-01-20,,,Post-moult 2024-2025,Y
tu123,tu123,IMOS,1,0,UNKNOWN,,,,2025-04-22,2025-05-06,,IMOS Olive ridley turtles CTD GPS 2025,Y
ct165,ct165,XTOPHE,1,0,UNKNOWN,,,,2020-12-24,2022-04-01,,Peninsula Valdes 2021,Y
ct166,ct166,LOCEAN,1,0,UNKNOWN,,,,2022-10-16,2024-02-01,,Mini CT IST,Y
ft29,ft29,LARS,1,0,UNKNOWN,,,,2022-02-10,2023-12-14,,Fluoro 2021,Y
wd19,wd19,UNKNOWN,1,0,UNKNOWN,,,,2011-03-26,2011-10-08,,Weddell seals CTD 2021,Y
wd20,wd20,UNKNOWN,1,0,UNKNOWN,,,,2023-01-26,,,Weddell seals CTD 2023,Y
wd23,wd23,AWI,1,0,UNKNOWN,,,,2025-01-25,,,Weddell seals CTD 2025,Y
tu119,tu119,SATO,1,0,UNKNOWN,,,,2022-07-20,,,Loggerhead CTD 2022,Y
ct172,ct172,LARS,1,0,UNKNOWN,,,,2022-08-28,,,ARES 2022,Y
ft32,ft32,COSTA,1,0,UNKNOWN,,,,2023-01-26,2024-01-01,,MBARI Fluoro 2023 (ATN + TESAC GTS),A
tu120,tu120,IMOS,1,0,UNKNOWN,,,,2022-10-06,,,IMOS Flatback turtle CTD GPS 2021,N
ct180,ct180,IMOS,1,0,UNKNOWN,,,,2023-12-20,2025-03-01,,Kerguelen refurbished CTD 2023/2024,Y
ct188,ct188,IMOS,1,0,UNKNOWN,,,,2025-03-01,2025-03-02,,Macquarie Island 2025,Y
tu114,tu114,BOUSQUET,1,0,UNKNOWN,,,,2021-12-05,,,Loggerhead CTD/fluoro 2021,Y
wd27,wd27,IMOS,1,0,UNKNOWN,,,,2023-01-20,,,Weddell seals Terra Nova 2023,Y
wd28,wd28,KOPRI,1,0,UNKNOWN,,,,2024-01-15,,,Weddell seals - Thwaites Glacier CTD 2024,Y
ct175,ct175,XTOPHE,1,0,UNKNOWN,,,,2023-05-22,2024-06-01,,Oxygen 2023,Y
ct177,ct177,XTOPHE,1,0,UNKNOWN,,,,2024-02-09,,,Kerguelen CTD 2024,Y
wd30,wd30,IMOS,1,0,UNKNOWN,,,,2024-02-01,,,Weddell seals CTD 2024,Y
wd31,wd31,UNKNOWN,1,0,UNKNOWN,,,,2024-02-11,,,Dumont d'Urville Weddell seal CTD 2024,Y
ct182,ct182,IMOS,1,0,UNKNOWN,,,,2024-09-30,,,IMOS Kerguelen 2024,Y
ft36,ft36,UPWELL,1,0,UNKNOWN,,,,,,,West Atlantic Leatherbacks CTF 2024,Y
rs28,rs28,HAMMILL,1,0,UNKNOWN,,,,2016-03-16,2016-03-17,,ringed seals 2016,N
rs18,rs18,HAMMILL,1,0,UNKNOWN,,,,2013-09-05,2013-10-24,,ringed seals 2013,N
rs11,rs11,HAMMILL,1,0,UNKNOWN,,,,2012-10-29,2012-12-30,,ringed seals 2012,N
rs9,rs9,HAMMILL,1,0,UNKNOWN,,,,2011-10-29,2012-04-30,,ringed seals 2011,N
rs6,rs6,HAMMILL,1,0,UNKNOWN,,,,2010-10-17,2011-06-06,,ringed seals 2010,N
MH6,MH6,HAMMILL,1,0,UNKNOWN,,,,2009-08-10,2010-01-06,,beluga ctd 2009,N
MH5,MH5,HAMMILL,1,0,UNKNOWN,,,,2008-08-17,2009-01-22,,beluga ctd 2008,N
hg19,hg19,HAMMILL,1,0,UNKNOWN,,,,2008-06-17,2009-01-13,,greys 2008,N
MH4,MH4,HAMMILL,1,0,UNKNOWN,,,,2008-03-13,2009-04-04,,Hammill Hoods 2008,N
hd6,hd6,HAMMILL,1,0,UNKNOWN,,,,2007-07-22,2008-06-24,,Hoods greenland 2007,N
hd5g,hd5g,HAMMILL,1,0,UNKNOWN,,,,2005-07-24,2006-06-14,,Hoods greenland 2005,N
hp2,hp2,HAMMILL,1,0,UNKNOWN,,,,2004-05-23,2005-10-23,,harps 2004,N
MH3,MH3,HAMMILL,1,0,UNKNOWN,,,,2007-08-15,2007-11-12,,beluga 2007,N
MH2,MH2,HAMMILL,1,0,UNKNOWN,,,,2004-08-15,2005-05-04,,beluga 2004,N
MH1,MH1,HAMMILL,1,0,UNKNOWN,,,,2003-07-09,2004-02-15,,beluga 2003,N
hg5,hg5,HAMMILL,1,0,UNKNOWN,,,,2004-06-13,2005-06-17,,Hammill greys 2004,N
hp1,hp1,HAMMILL,1,0,UNKNOWN,,,,2004-07-13,2005-04-12,,Hammill Harps 2004,N
hd1,hd1,HAMMILL,1,0,UNKNOWN,,,,2004-06-07,2010-01-03,,Hammill Hoods 2004,N
hg9,hg9,HAMMILL,1,0,UNKNOWN,,,,2007-01-14,2007-11-13,,Sable Greys 2007,N
hg4,hg4,HAMMILL,1,0,UNKNOWN,,,,2004-04-11,2005-05-28,,Bowen Greys 2004,N
tu34,tu34,HAMMILL,1,0,UNKNOWN,,,,2006-08-15,2009-10-17,,Leatherbacks 2006,N
rs3,rs3,HAMMILL,1,0,UNKNOWN,,,,2005-01-24,2009-03-26,,Ringed seals,N
wd2,wd2,HINDELL,1,0,UNKNOWN,,,,2011-03-26,2011-10-08,,Weddell seals CTD 2006,N
sk3,sk3,BLOCK,1,0,UNKNOWN,,,,2015-05-08,,,Salmon Sharks 2015,Y
