smru_platform_code,T1,T2,S1,S2,remove,Sremove,comment
ct145-953-BAT2-18,0,0,0,0.03,0,0,no comment
ct145-F995-BAT-14,0,0,0,-0.01,0,0,no comment
ct146-1-18,0,0,0,-0.05,0,0,no comment
ct148-932-18,0,0,0.05,0.1,0,0,no comment
ct148-933-18,0,0,0,0.1,0,0,no comment
ct148-934-18,0,0,0,0.03,0,0,no comment
ct148-935-18,0,0,0,0,0,0,no comment
ct148-936-18,0,0,0,-0.2,0,0,no comment
ct148-937-18,0,0,0,0,1,0,no comment
ct148-938-18,0,0,0,0,0,0,no comment
ct148-939-18,0,0,0,0.26,0,0,no comment
ct148-940-18,0,0,0,0.05,0,0,no comment
ct148-941-18,0,0,0.05,0.1,0,0,no comment
ct148-944-18,0,0,0,0,0,0,no comment
ct148-945-18,0,0,0,0.05,0,0,no comment
ct148-946-18,0,0,0,-0.11,0,0,no comment
ct148-947-18,0,0,0,0.05,0,0,no comment
ct148-948-18,0,0,0,0,1,0,no comment
ct148-961-18,0,0,0,-0.01,0,0,no comment
ct148-962-18,0,0,0,0.02,0,0,no comment
ct148-963-18,0,0,0.05,-0.02,0,0,no comment
ct148-964-18,0,0,0,-0.05,0,0,no comment
ct148-965-18,0,0,-0.03,-0.03,0,0,no comment
ct148-966-18,0,0,0,0.01,0,0,no comment
ct148-967-18,0,0,0,-0.02,0,0,no comment
ct148-968-18,0,0,0,-0.03,0,0,no comment
ct148-969-18,0,0,0,0.04,0,0,no comment
ct148-970-18,0,0,0,0,0,0,no comment
ct149-922-18,0,0,0,0.01,0,0,no comment
ct149-923-18,0,0,0,-0.01,0,0,no comment
ct149-924-18,0,0,0,-0.1,0,0,no comment
ct149-925-18,0,0,-0.05,0,0,0,no comment
ct149-926-18,0,0,0,0.1,0,0,no comment
ct149-927-18,0,0,0,-0.01,0,0,no comment
ct149-928-18,0,0,0,-0.04,0,0,no comment
ct149-929-18,0,0,0,0,0,0,no comment
ct149-930-18,0,0,0,0.02,0,0,no comment
ct149-931-18,0,0,0,0,1,0,no comment
ct15-171-05,0,0,0,0.02,1,0,no comment
ct15-172-05,0,0,0,0,1,0,no comment
ct150-416BAT-16,0,0,0,0,0,0,no comment
ct16-174-06,0,0,0,0.62,0,0,no comment
ct16-238-06,0,0,0,-0.04,0,0,no comment
ct16-240-06,0,0,0,0,0,1,no comment
ct16-241-06,0,0,0,0.3,0,0,no comment
ct16-317-06,0,0,0,0,1,0,no comment
ct17-f100-06,0,0,0,-0.1,0,0,no comment
ct17-m007-06,0,0,0,-0.36,0,0,no comment
ct17-m070-06,0,0,0,-0.11,0,0,no comment
ct17-m098-06,0,0,0,0,0,1,no comment
ct17-m099-06,0,0,0,0,1,0,no comment
ct17-m107-06,0,0,0,0,1,0,no comment
ct17-m110-06,0,0,0,0.21,0,0,no comment
