deployment_code,temp_error,psal_error,minT,maxT,minS,maxS,min_Nprof,pmax,pmax_fluo,is_lon_center_180
ft13,0.1,0.2,-3,32,4,40,30,300,200,0
ft14,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ft15,0.05,0.2,-3,32,4,40,30,200,100,0
ft17,0.05,0.2,10,40,0,40,30,200,100,0
ft18,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft19,0.1,0.1,-3,32,4,40,30,400,200,0
ft20,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ft21,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ft22,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft23,0.05,0.05,-3,32,4,40,30,NaN,NaN,NaN
ft24,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ft25,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
ft26,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hd2bb,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hd2f,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hd2g,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hd3,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hd5bb,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hd6,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hg19,0.1,0.1,-3,32,4,40,30,NaN,NaN,NaN
hg37,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hg37g,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hg4,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hg42,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hg47,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hg9,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
hp2,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
kp01,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs11,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs14,0.1,0.2,-3,32,4,40,30,550,200,1
rs15,0.1,0.2,-3,32,4,40,30,550,200,1
rs17,0.1,0.2,-3,32,4,40,30,550,200,1
rs18,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
rs19,0.1,0.2,-3,32,4,40,30,550,200,1
rs22,0.1,0.2,-3,32,4,40,30,550,200,1
rs23,0.1,0.2,-3,32,4,40,30,550,200,1
rs27,0.1,0.2,-3,32,4,40,30,550,200,1
rs28,0.1,0.2,-3,32,4,40,30,NaN,NaN,NaN
